idtweets	id	fecha	place_name	place	id_busqueda	contexto_reducido	results	match	random_sample	valid_match
7.2382276440730394e+17	2595	2016-04-23T10:36:09Z	Ocumare Del Tuy	004240f60df38767	1	ahora todo el mundo es un perro en	0	FALSE	FALSE	NA
723822979235385e3	2781	2016-04-23T10:37:00Z	Recreo	0108423a421615e0	2	se me vino todo el mundo abajo	1	elmundo_3sg_ant	FALSE	NA
723823764572627e3	3530	2016-04-23T10:40:08Z	Buenos Aires	4afa2757051c5192	3	todo el mundo se puede ir al	1	elmundo_3sg_pos	FALSE	NA
72382535564832e4	5121	2016-04-23T10:46:27Z	Corral de Ayllón	ecb9ca56b01fca76	4	que quiero que todo el mundo lo tenga	0	FALSE	FALSE	NA
723828668112474e3	8342	2016-04-23T10:59:37Z	Torrox	62bc678877f0168b	5	no todo el mundo hace eso	1	elmundo_3sg_pos	FALSE	NA
723831496482689e3	11186	2016-04-23T11:10:51Z	Zárate	017c34650c2dd3d7	6	que todo el mundo salió anoche	1	elmundo_3sg_pos	FALSE	NA
729005772198261e3	14065	2016-05-07T17:51:35Z	González Catán	0138a2ed609c5a53	7	me tiene harta todo el mundo	0	FALSE	FALSE	NA
729006281424429e3	15607	2016-05-07T17:53:36Z	Tuxtla Gutiérrez	b462c87ea2b4ff26	8	todo el mundo stalkeandose	0	FALSE	FALSE	NA
729006281424429e3	15607	2016-05-07T17:53:36Z	Tuxtla Gutiérrez	b462c87ea2b4ff26	8	todo el mundo stalkeandose	0	FALSE	FALSE	NA
72900835747081e4	21928	2016-05-07T18:01:51Z	Venezuela	043383f8b2b79918	9	todo el mundo se levanto	0	FALSE	FALSE	NA
729008601134699e3	22619	2016-05-07T18:02:49Z	Mendoza	30e5bcffda059c80	10	problema es que todo el mundo trata a los adolescentes	0	FALSE	FALSE	NA
729009412673786e3	24922	2016-05-07T18:06:02Z	La Granja	00ab3d5d265cc6d9	11	persecución y que todo el mundo conspira en contra de	0	FALSE	FALSE	NA
7.2900956939400806e+17	25359	2016-05-07T18:06:40Z	Bogotá, D.C.	0161be1b3f98d6c3	12	todo el mundo viajando y yo en	0	FALSE	FALSE	NA
729010956597002e3	29185	2016-05-07T18:12:11Z	Mazatlán	2cc8747e1f1a2fd6	13	todo el mundo se burlaba por qué	0	FALSE	FALSE	NA
729011802722415e3	31588	2016-05-07T18:15:32Z	Venezuela	043383f8b2b79918	14	normal como que todo el mundo me ignore	0	FALSE	FALSE	NA
729011938756334e3	31942	2016-05-07T18:16:05Z	Villanueva de la Jara	3a02749496e8041e	15	d la que todo el mundo hablaaaaaaaa	0	FALSE	FALSE	NA
729012654203769e3	33920	2016-05-07T18:18:55Z	Heredia	012c447f4ce72363	16	toques lo bloquea todo el mundo	0	FALSE	FALSE	NA
739034099843801e3	42619	2016-06-04T10:00:34Z	Guadalajara	7b54c3a7a77cd125	17	hojala todo el mundo fuera asi	0	FALSE	FALSE	NA
739034762074042e3	43219	2016-06-04T10:03:12Z	Burgos	aab98cb60835e83e	18	todo el mundo me conoce	1	elmundo_3sg_pos	FALSE	NA
745921544115859e3	45193	2016-06-23T10:08:49Z	Oleiros	f5e7c2a3edb0c324	19	los sectores y todo el mundo	0	FALSE	FALSE	NA
745921878007611e3	45548	2016-06-23T10:10:08Z	Oleiros	f5e7c2a3edb0c324	20	los sectores y todo el mundo	0	FALSE	FALSE	NA
745922077555843e3	45760	2016-06-23T10:10:56Z	Las Palmas de Gran Canaria	00ab08eef1b62e92	21	ahora es cuando todo el mundo subirá	0	FALSE	FALSE	NA
745925601358451e3	49681	2016-06-23T10:24:56Z	Motril	87430062a57866bb	22	que hubiera hecho todo el mundo como ser humano	0	FALSE	FALSE	NA
74592573486309e4	49825	2016-06-23T10:25:28Z	Jadraque	0d7af4e2c474ba09	23	todo el mundo para a preguntarme	0	FALSE	FALSE	NA
745927075454923e3	51402	2016-06-23T10:30:48Z	Alcorcón	dbf989427f114112	24	cuando ahora todo el mundo hace encuestas para esto	1	elmundo_3sg_pos	FALSE	NA
745927903196684e3	52280	2016-06-23T10:34:05Z	Málaga	507a015cba6ef518	25	todo el mundo to feliz con el	0	FALSE	FALSE	NA
745928029264831e3	52432	2016-06-23T10:34:35Z	San Martín de la Vega	8fcea753aa3cc0f0	26	pero porque todo el mundo está ganando meets o	1	elmundo_3sg_pos	FALSE	NA
745929099110191e3	53642	2016-06-23T10:38:50Z	Alcañiz	537cf458cde3fd39	27	todo el mundo ha visto ya	0	FALSE	FALSE	NA
745929756613415e3	54383	2016-06-23T10:41:27Z	Girona	5ad003e559cee757	28	que todo el mundo prepare las piras de	1	elmundo_3sg_pos	FALSE	NA
74592986448672e4	54519	2016-06-23T10:41:53Z	Sant Feliu de Llobregat	a2b1a76106a86081	29	que ganas tiene todo el mundo de ponerme de mala	1	elmundo_3sg_ant	FALSE	NA
745930446278693e3	55286	2016-06-23T10:44:11Z	Palma	6c1be133511970bc	30	todo el mundo tiene las notas y	1	elmundo_3sg_pos	FALSE	NA
745930715183854e3	55627	2016-06-23T10:45:15Z	La Plata	0177894212b08f73	31	el malo y todo el mundo te cree	0	FALSE	FALSE	NA
745930924571902e3	55869	2016-06-23T10:46:05Z	Moncofa	f63f29a507fcf54f	32	que todo el mundo disfrute de la	1	elmundo_3sg_pos	FALSE	NA
74593117684251e4	56187	2016-06-23T10:47:05Z	Montevideo	01a9dbb9232f0fac	33	todo el mundo es irrelevante en esta	0	FALSE	FALSE	NA
745931612169322e3	56715	2016-06-23T10:48:49Z	Utebo	7064329708b07896	34	todo el mundo fardando de notas jajajajajajaja	0	FALSE	FALSE	NA
745932052386751e3	57248	2016-06-23T10:50:34Z	Granada	387b00909c2e7031	35	cojindelunares todo el mundo pretende mojar en san	1	elmundo_3sg_pos	FALSE	NA
745936201664836e3	62509	2016-06-23T11:07:03Z	Sevilla	8c86b8b4cb716103	37	peligroso debe saberlo todo el mundo https	1	elmundo_3sg_perif	FALSE	NA
745936201664836e3	62509	2016-06-23T11:07:03Z	Sevilla	8c86b8b4cb716103	37	peligroso debe saberlo todo el mundo https	0	FALSE	FALSE	NA
745936932866298e3	63490	2016-06-23T11:09:58Z	Alicante	2e858e47881ddc48	38	nota que está todo el mundo de resaca bc los	1	elmundo_3sg_ant	FALSE	NA
729029708168475e3	67237	2016-05-07T19:26:41Z	Río Negro	4e51dcd7e0471448	39	salio campeon y todo el mundo sabe eso	0	FALSE	FALSE	NA
729029919561388e3	67783	2016-05-07T19:27:32Z	Linares	c4896928e999c93d	40	dicho que no todo el mundo	0	FALSE	FALSE	NA
729030454888833e3	69299	2016-05-07T19:29:39Z	Madrid	206c436ce43a43a3	41	todo el mundo necesita un lugar donde	1	elmundo_3sg_pos	FALSE	NA
729030700016538e3	69979	2016-05-07T19:30:38Z	Ciudad Autónoma de Buenos Aires	018f1cde6bad9747	42	todo el mundo se queja y cuando	0	FALSE	FALSE	NA
729033946533614e3	78857	2016-05-07T19:43:32Z	El Ejido	dc322bef2dacf718	43	debes saber que todo el mundo tiene problemas y tú	0	FALSE	FALSE	NA
729033998308086e3	78984	2016-05-07T19:43:44Z	Ciudad Autónoma de Buenos Aires	018f1cde6bad9747	44	todo el mundo sabe qué jugador fantástico	1	elmundo_3sg_pos	FALSE	NA
